ID_CLIENTE,IDADE,VALOR_COMPRA_SITE,QTDE_ITENS_COMPRA_SITE,FLAG_ACESSORIOS_COMPRA_SITE,FLAG_FEMININA_COMPRA_SITE,FLAG_MASCULINA_COMPRA_SITE,NOTA_SATISF_COMPRA_SITE,FLAG_COMPROU_LOJA_FISICA_6M,QTDE_COMPRAS_LOJA_FISICA_6M,QTDE_ITENS_LOJA_FISICA_6M
novo_1,28,122.30,0,0,1,1,7,1,1,3
novo_2,34,205.70,4,1,1,1,8,1,1,3
novo_3,23,308.80,11,0,1,1,9,1,0,0
novo_4,29,98.80,3,0,1,1,7,0,0,0
novo_5,24,144.70,2,0,0,1,8,1,1,2
novo_6,32,126.20,1,0,1,1,6,1,1,1
novo_7,26,188.90,1,1,1,0,10,1,1,5
novo_8,34,186.70,1,0,0,1,9,1,3,4
novo_9,16,106.60,2,0,1,1,9,1,2,4
novo_10,21,69.30,2,0,1,0,7,0,0,0
novo_11,24,176.20,3,1,1,1,5,1,2,4
novo_12,28,293.70,3,0,1,1,8,0,0,0
novo_13,28,87.60,2,0,1,0,7,1,1,2
novo_14,19,109.00,1,0,1,1,6,0,1,0
novo_15,26,294.90,1,0,1,0,8,0,0,0
novo_16,28,164.20,2,0,1,1,10,1,3,6
novo_17,29,196.60,1,0,1,1,8,1,3,4
novo_18,28,215.50,1,0,1,1,8,1,2,1
novo_19,30,239.50,3,1,0,1,8,0,0,0
novo_20,25,164.10,2,0,1,1,9,0,1,2
